Question,Answer
Jak nazywa się bohaterka gier komputerowych z serii Tomb Raider?,Lara Croft
Paź królowej to gatunek których owadów?,Motyli
Czy w przypadku skrócenia kadencji Sejmu ulega skróceniu kadencja Senatu?,Tak
Co zabiera Wenus więcej czasu: obieg dookoła Słońca czy obrót dookoła osi?,Obrót dookoła osi
"Proszę dokończyć powiedzenie: „piłka jest okrągła, a bramki są…”",dwie
Ile pełnych tygodni ma rok kalendarzowy?,52
"Jaki przydomek nosił Ludwik I, król Franków i syn Karola Wielkiego?",Pobożny
Proszę rozwinąć skrót CIA.,
"Tę samą nazwę noszą pocisk miotany ręką, kamień półszlachetny i owoc południowy. Jaką?",
Ten urodzony w XIX w. Nantes francuski pisarz uchodzi za prekursora literatury fantastycznonaukowej. O kogo chodzi?,
"Festiwal filmowy Dwa Brzegi odbywa się jednocześnie w dwóch miejscowościach na dwóch brzegach Wisły. Jedna z nich to Janowiec, a druga?",
"Tadeusz Andrzej Bonawentura, walczył o niepodległość USA. Jak brzmi jego nazwisko?",
Zobaczyć... i umrzeć – o które miasto chodzi?,
Które miasto było stolicą zakonu krzyżackiego?,
Gdzie połączone jednostki polskie z Rosji i Austro-Węgier starły się w 1918 roku z Niemcami?,
"Jak nazywa się wzgórze w Paryżu, na którym zbudowano Bazylikę Sacré-Cœur?",
"Kto prowadził teleturniej ""Kocham Cię Polsko""?",
"Który z ""Trzech Muszkieterów"" Alexandra Dumas'a miał w młodości zostać księdzem?",
Jak nazywał się ojciec Pinokia?,
W którym mieście Polska podpisała pokój z Krzyżakami w lutym 1411 roku?,
Skąd pochodzi forma poetycka Haiku?,
"Przy której bajkowej ulicy mieszkają Elmo, Grover, Ciasteczkowy Potwór?",
Które miasto Ukrainy znane jest ze słynnych Schodów Potiomkinowskich?,
Jaką funkcję w Rzeszy Niemieckiej pełnił Otto von Bismarck?,
O której legendarnej wyspie opowiada Platon w swoich dziełach Timajos i Critas?,
W którym wieku miała miejsce odsiecz oblężonego przez Turków Wiednia?,
"Jak nazywa się cienki placek z mąki i wody, produkt kuchni żydowskiej nazywany chlebem niedoli?",
Jak potocznie nazywamy długie nici pajęczyny unoszone przez wiatr wczesną jesienią?,
Kto zabił Goliata kamieniem z procy?,
Jak nazywa się mały szynowy pojazd z ręcznym napędem?,
W których górach szumi wodospad Siklawa?,
Kto skomponował muzykę do opery Król Roger ?,
W którym państwie przyznawany jest Medal Zasłużony Kulturze Gloria Artis?,
Czyje imię nosi Teatr Ateneum w Warszawie?,
Który król powołał Komisję Morską czyli pierwszy Polski urząd do spraw żeglugi w XVI w.?,
Kto jest reżyserem filmu Bliskie spotkania trzeciego stopnia ?,
Który kontynent zamieszkuje niedźwiedź baribal?,
Ile par odnóży mają raki?,
Która duża europejska wyspa jest nazywana szmaragdową albo zieloną?,
Gdzie urodził się Mikołaj Kopernik?,
W którym roku rozpoczęła się II wojna światowa?,
Które państwo uchodzi za kolebkę szachów?,
Na terenie którego państwa znajduje się Salto Angel - najwyższy wodospad świata?,
"Jak nazywał się pisarz, który stworzył postać Jamesa Bonda?",
W którym roku Polska przystąpiła do Unii Europejskiej?,
"Jak nazywali się trzej bracia, założyciele Polski, Czech i Rosji?",
Z jakiego miasta Marco Polo wyruszył w podróż do Chin?,
Co Otto III podarował Bolesławowi Chrobremu?,
Jaka polska poetka dostała literacką Nagrodę Nobla?,
Gdzie urodził się Fryderyk Chopin?,
Który król przeniósł stolicę Polski z Krakowa do Warszawy?,
Jaki Święty umarł w 1226r.?,
Kiedy ustanowiono w Polsce stan wojenny?,
W jakim mieście codziennie grany jest hejnał z Wieży Mariackiej?,
Na czym latał Alladyn?,
Jaki magiczny przedmiot był w posiadaniu ojca księżniczki Ariel?,
Ilu krasnoludków miała Królewna Śnieżka?,
Co zgubił Kopciuszek na balu?,
Jak miał na imię synek rozbójnika Rumcajsa?,
W jakiej stolicy znajduje się lotnisko Fryderyka Chopina?,
Jakie miasto nazywamy „wiecznym miastem”?,
Za pomocą jakiego przyrządu naukowcy obserwują mikroorganizmy?,
"W jakiej grze są królowie, wieże i konie?",
Czyim synem był herakles?,
Który z polskich królów pisał piękne listy do swej żony?,
Po ilu latach małżeństwa obchodzi się stalowe gody?,
Który dzień jest dniem przesilenia letniego?,
Za kogo wyszła Telimena?,
Którego bohatera Tanga grał Piotr Adamczyk?,
Na jakim świetle przechodzimy na druga stronę jezdni?,
Jaki zakazany owoc zjedli Adam i Ewa?,
Czyją córką była Persefona?,
Czym posypywane są głowy w Środę Popielcową?,
Kiedy obchodzimy Boże Narodzenie?,
Komu Matka Boska objawiła się w Guadelupe?,
kogo uratował Jacek Soplica?,
Jaka jest dokładna data bitwy pod Grunwaldem?,
Kto jest najwyższym zwierzchnikiem Sił Zbrojnych Rzeczypospolitej Polskiej?,
który apostoł stał się przysłowiowym sceptykiem?,
Z jakiego kraju pochodziła św.Kinga?,
"Co, według Biblii, było białe jak ziarno kolendra i miało smak placka z miodem ?",
Jakiego koloru owoce ma jarzębina ?,
Przez jaki kontynent wędrują Staś i Nel w powieści Henryka Sienkiewicza pt. „W pustyni i w puszczy” ?,
Na jakie miasto spadła pierwsza bomba atomowa ?,
Jakie urządzenie potocznie nazywamy „korkiem” ?,
Co chroni palec przy szyciu ręcznym przed ukłuciami igły ?,
Co służy do kreślenia tuszem linii na powiece lub wokół oka ?,
"Jak nazywa się sucha, twarda kiełbasa z nalotem z pleśni ?",
Gdzie przesiadywał leń z wiersza Jana Brzechwy ?,
Jaką bronią posługuje się Eros ?,
Do jakiego miasta usilnie próbował dojść Koziołek Matołek ?,
Czyją śmierć opłakiwał Jan Kochanowski w swoich trenach ?,
Ile miesięcy trwa prawidłowo przebiegająca ciąża u człowieka ?,
Ile metrów ma Pałac Kultury?,
Jakiego człowieka nazywamy żartobliwie „lelum-polelum” ?,
Co buduje się w stoczni ?,
Jakie imię nosi największy dzwon w Polsce ?,
Jak inaczej określa się osobę chorą na cukrzycę ?,
W jakiej strefie klimatycznej znajduje się Polska?,
Nad jaką zatoką leży Półwysep Westerplatte ?,
Kto przez 5 lat mieszkał w wozie cyrkowym we wsi Podgradowice ?,
Gdzie w 1963 roku zastrzelono J. F. Kennedy’ego ?,
Skąd wyruszył Ferdynand Magellan?,
Jaki numer nosił Rudy – czołg „Czterej pancernych” ?,
Wirtuozem gry na jakim instrumencie był Niccolo Paganini ?,
Jakiego zawodu uczył się manolin?,
Kiedy obchodzone jest „Halloween” ?,
O czyim pojedynku opowiada Wojski w powieści Adama Mickiewicza pt. „Pan Tadeusz” ?,
Patronem jakiego kraju jest św. Patryk ?,
